Obs,Stp,Exp,Res,Var,StRes,Wt,LProb,Measure,Displ,Status,MPCat,E1,E2,E3,M1,M2,M3,text_id,rater_id,band
43,43,49.36,-6.36,20.84,-1.39,1,-2.02,-0.63,-0.31,1,53,1,1,1,-0.64,0,-0.01,Text1,R1,TR
43,43,47.76,-4.76,22.86,-0.99,1,-1.61,-0.71,-0.21,1,50,1,1,2,-0.64,0,0.07,Text1,R1,CC
43,43,52.56,-9.56,18.57,-2.22,1,-3.36,-0.46,-0.51,1,53,1,1,3,-0.64,0,-0.17,Text1,R1,LR
37,37,47.84,-10.84,22.77,-2.27,1,-4.5,-0.7,-0.48,1,50,1,1,4,-0.64,0,0.06,Text1,R1,GRA
34,34,48.1,-14.1,22.5,-2.97,1,-5.69,-0.69,-0.63,1,50,1,1,5,-0.64,0,0.05,Text1,R1,HOL
53,53,66.64,-13.64,28.31,-2.56,1,-4.44,0.1,-0.48,1,63,15,1,1,0.1,0,-0.01,Text15,R1,TR
63,63,64.61,-1.61,27.02,-0.31,1,-1.11,0.03,-0.06,1,63,15,1,2,0.1,0,0.07,Text15,R1,CC
67,67,71.43,-4.43,28.1,-0.84,1,-2.09,0.27,-0.16,1,73,15,1,3,0.1,0,-0.17,Text15,R1,LR
67,67,64.71,2.29,27.08,0.44,1,-1.84,0.03,0.08,1,63,15,1,4,0.1,0,0.06,Text15,R1,GRA
63,63,65.03,-2.03,27.29,-0.39,1,-1.14,0.05,-0.07,1,63,15,1,5,0.1,0,0.05,Text15,R1,HOL
73,73,81.93,-8.93,28.13,-1.68,1,-2.41,0.64,-0.32,1,83,23,1,1,0.63,0,-0.01,Text23,R1,TR
63,63,79.81,-16.81,29.49,-3.1,1,-5.97,0.56,-0.57,1,83,23,1,2,0.63,0,0.07,Text23,R1,CC
80,80,86.35,-6.35,24.68,-1.28,1,-3.08,0.8,-0.26,1,83,23,1,3,0.63,0,-0.17,Text23,R1,LR
73,73,79.93,-6.93,29.44,-1.28,1,-1.86,0.57,-0.24,1,83,23,1,4,0.63,0,0.06,Text23,R1,GRA
76,76,80.26,-4.26,29.27,-0.79,1,-3.74,0.58,-0.15,1,83,23,1,5,0.63,0,0.05,Text23,R1,HOL
50,50,48.04,1.96,22.57,0.41,1,-1.44,-0.69,0.09,1,50,3,2,1,-0.7,0,-0.01,Text3,R2,TR
43,43,46.33,-3.33,23.73,-0.68,1,-1.37,-0.77,-0.14,1,43,3,2,2,-0.7,0,0.07,Text3,R2,CC
43,43,51.44,-8.44,18.46,-1.96,1,-2.81,-0.53,-0.46,1,53,3,2,3,-0.7,0,-0.17,Text3,R2,LR
37,37,46.42,-9.42,23.7,-1.94,1,-3.89,-0.76,-0.4,1,43,3,2,4,-0.7,0,0.06,Text3,R2,GRA
37,37,46.7,-9.7,23.61,-2,1,-4,-0.75,-0.41,1,43,3,2,5,-0.7,0,0.05,Text3,R2,HOL
73,73,71.47,1.53,28.09,0.29,1,-1.09,0.27,0.05,1,73,16,2,1,0.27,0,-0.01,Text16,R2,TR
67,67,69.39,-2.39,28.73,-0.45,1,-1.85,0.2,-0.08,1,73,16,2,2,0.27,0,0.07,Text16,R2,CC
77,77,76.21,0.79,29.1,0.15,1,-1.79,0.44,0.03,1,73,16,2,3,0.27,0,-0.17,Text16,R2,LR
73,73,69.5,3.5,28.71,0.65,1,-1.26,0.2,0.12,1,73,16,2,4,0.27,0,0.06,Text16,R2,GRA
78,78,69.83,8.17,28.62,1.53,1,-5.28,0.22,0.29,1,73,16,2,5,0.27,0,0.05,Text16,R2,HOL
87,87,86.61,0.39,24.45,0.08,1,-1.52,0.81,0.02,1,83,26,2,1,0.81,0,-0.01,Text26,R2,TR
83,83,84.76,-1.76,25.9,-0.35,1,-1.12,0.74,-0.07,1,83,26,2,2,0.81,0,0.07,Text26,R2,CC
87,87,90.27,-3.27,18.41,-0.76,1,-1.77,0.98,-0.18,1,93,26,2,3,0.81,0,-0.17,Text26,R2,LR
83,83,84.86,-1.86,25.83,-0.37,1,-1.13,0.74,-0.07,1,83,26,2,4,0.81,0,0.06,Text26,R2,GRA
90,90,85.16,4.84,25.61,0.96,1,-2.43,0.76,0.19,1,83,26,2,5,0.81,0,0.05,Text26,R2,HOL
53,53,50.57,2.43,19.2,0.56,1,-1.08,-0.57,0.13,1,53,9,3,1,-0.58,0,-0.01,Text9,R3,TR
43,43,49.09,-6.09,21.22,-1.32,1,-1.94,-0.65,-0.29,1,53,9,3,2,-0.58,0,0.07,Text9,R3,CC
53,53,53.72,-0.72,19.93,-0.16,1,-0.93,-0.4,-0.04,1,53,9,3,3,-0.58,0,-0.17,Text9,R3,LR
43,43,49.17,-6.17,21.1,-1.34,1,-1.96,-0.64,-0.29,1,53,9,3,4,-0.58,0,0.06,Text9,R3,GRA
