rater_id,B1_TR,B1_CC,B1_LR,B1_GRA,B1_HOL,B2_TR,B2_CC,B2_LR,B2_GRA,B2_HOL,C1_TR,C1_CC,C1_LR,C1_GRA,C1_HOL,duration_sec,text_order,B1_text_id,B2_text_id,C1_text_id,B1_comment,B2_comment,C1_comment,gender,age,education,TESOL_cert,ELT_exp_yrs,IELTS_status,current,IELTS_exp_yrs,rater_L1,rater_English,student_L1,L1_range,prof_range
R1,4.3,4.3,4.3,3.7,3.4,5.3,6.3,6.7,6.7,6.3,7.3,6.3,8.0,7.3,7.6,2499,C1_B1_B2,Text1,Text15,Text23,The candidate uses only basic vocabulary repetitively. Errors are frequent and cause strain for the reader. ,"The candidate takes risks and attempts to use more sophisticated vocabulary. However, the the candidate's inaccuracy prevents them from getting a band 7.","The candidate uses a wide range of vocabulary to convey precise meanings, as well as less common lexical items. The candidate produces some errors but these didn't reduce communication. ",Female,30-39,BA,Cambridge Delta,6-10,examiner,former,6-10,Spanish,L2,Arabic,wide,wide
R2,5.0,4.3,4.3,3.7,3.7,7.3,6.7,7.7,7.3,7.8,8.7,8.3,8.7,8.3,9.0,2439,B1_C1_B2,Text3,Text16,Text26,"There were a few flashes of less common language (""doing chores"" ""pocket money"", but these were far outweighed by the frequent errors causing strain for the reader (""positive school"" ""my age is late to work by children"")","There's a good range, including less common items: ""equipped to face adulthood"" ""the value of hard work"" ""put food on the table. A few more errors and stylistic oddities than I think you'd see in a band 8 script: ""endure in the condition where money doesn't come easily"" ""commonly wealthy"" ""spoiled in every time"".","They're clearly very strong, a wide range of less common items/collocations/expressions. ""Impoverished background"" "" setbacks"" ""turn to crime"" ""their parent's own struggles serve as an example to them"". Not quite 9 just because of a couple of odd uses of eg, and children that ""labor on the weekend"", a strange verb choice. So for all intents and purposes maybe 9, but that's where we're looking out for just one or two slight errors, which is enough to hold it back. ",Male,30-39,MA,Cambridge Delta,11-20,examiner,former,3-5,English,L1,Italian,narrow,narrow
R3,5.3,4.3,5.3,4.3,4.4,5.3,5.7,6.3,6.3,5.6,8.3,8.3,8.3,8.3,8.8,1111,B2_C1_B1,Text9,Text12,Text33,Just sufficient for the task. Some error.,"Some good original lexis but relies heavily on the input material: spoiled, ethical values, hard work are all reasonably good.","Precise and wide resource. Very good colocation: prematurely exposed, sacrificing luxuries, necessary skills, 'robbed' of their childhood, feel cheated.",unknown,60-69,MA,Trinity CertTESOL,>20,examiner trainer,current,11-20,English,L1,Spanish,narrow,wide
R4,4.0,4.3,4.0,4.0,3.9,7.3,7.3,7.0,7.0,6.5,8.3,8.3,8.3,8.3,8.1,2068,B1_B2_C1,Text5,Text13,Text29,"basic vocabulary
some items not related to task
errors cause strain - entrance to bank/ that situation around me at our parents house","sufficient range to allow some flexibility - discipline/ spoiled
uses less common items - virtue of hard work/ put food on the table/ express love/ source of happiness/ face adulthood
occasional errors in word choice - in the condition where money isn't easily obtained/ eyes are blinded/ family love life","uses a wide range to covey precise meaning - prematurely exposed to the predicaments of adult life/ glimpse realities of life
skillful use of idiomatic language - learning to survive on/ impoverished background/ robbed of their childhood/ serve as an example.... despite some inaccuracies - hustle in the weekends/ straight contribution",Male,50-59,MA,Cambridge Delta,>20,senior examiner and trainer,current,11-20,English,L1,Korean,wide,wide
R5,4.3,5.3,5.3,5.0,4.5,7.3,6.0,6.3,6.0,5.4,8.3,6.3,8.7,7.0,7.5,4534,C1_B1_B2,Text6,Text11,Text27,"The effect of error on communication was high and caused difficulty [My age is late to work by children's ages | they study at money | countries had a culture about children]. However, meaning generally comes through and there are some less basic items that are used correctly e.g. life experience, mature, be prepare.",Attempts to use less common vocabulary but this generally leads to error and causes some difficulty to reader [psychological values | in the condition | disadvantage of a family love life]. Other less common items are used effectively [money doesn't come easily | are never home | put food in the table | the art of ].Word formation errors occur but do not impede communication. ,Precision of meaning; skillful use of less common and idiomatic expressions - occasional inaccuracies e.g. 'straight contribution' rather than 'direct contribution'. Skillful use of substitution to avoid repetition.,Female,60-69,MA,Cambridge Delta,>20,senior examiner and trainer,current,>20,English,L1,Chinese,wide,wide
R6,4.3,5.3,5.3,4.3,4.5,6.3,6.3,6.3,6.3,6.0,7.3,8.3,8.3,8.3,7.6,1357,B1_C1_B2,Text2,Text14,Text30,Poor use of collocations. No major spelling issues with basic high frequency language. Limited but minimally adequate for the task. ,Many attempts to use sophisticated lexical chunks but overall lacks the precision required to be wholly successful. The writer appears to be a risk-taker. ,"Wide range of task appropriate collocations used, overall, to good effect. Good control of spelling. A few occasion odd choices in collocation and/or word choice. ",Female,40-49,MA,Cambridge Delta,>20,examiner trainer,current,11-20,English,L1,various,wide,wide
R7,5.3,4.3,4.3,4.7,4.8,6.7,6.3,7.3,6.3,6.8,8.3,8.3,8.7,8.3,9.0,811593,B2_B1_C1,Text4,Text18,Text21,Lack of awareness regarding basic collocation and lack of accuracy in terms of word form as well.,The use of collocations and less commonn expressions / phrases.,"Appropriate use of coloocations, less common expressions and a clear awareness of style.",Male,40-49,BA,Cambridge Delta,11-20,examiner,former,6-10,Spanish,L2,Spanish,narrow,wide
R8,6.7,6.0,6.0,5.7,5.5,8.7,8.0,7.7,6.7,7.1,8.7,8.0,9.0,8.7,8.1,3086,B2_C1_B1,Text31,Text19,Text22,"Band 6: The candidate uses an adequate range of vocabulary for the task. S/he attempts to use less common vocabulary but with some inaccuracy. 

The candidate does not meet the requirements of Band 7 because  s/he falls short of using a sufficient range of vocabulary to allow some flexibility and precision.","Band 7: The candidate uses a sufficient range of vocabulary to allow some flexibility and precision. There are uses of less common lexical items with some awareness of style and collocation. There are some occasional errors in word choice. 

It did not meet the requirements of Band 8 because the candidate was not able to use a wide range of vocabulary fluently and flexibly to convey precise meanings.
","Band 8: The candidate uses a wide range of vocabulary fluently and flexibly to convey precise meanings. S/he skilfully uses uncommon lexical items but there are occasional inaccuracies in word choice and collocation.

The candidate falls short of using a wide range of vocabulary with very natural and sophisticated control of lexical features; rare minor errors occur only as ‘slips",Male,50-59,MA,Cambridge Delta,>20,examiner,current,11-20,Pashtu,L2,Arabic,narrow,narrow
R9,5.3,5.3,5.3,4.3,5.0,6.3,6.3,5.3,5.3,5.0,8.3,8.3,7.3,8.3,8.0,6497,C1_B1_B2,Text7,Text32,Text24,"some appropriate items: first-class parents; corroborate this claim; not to generalize; freelance; work as a receptionist; saw firsthand; comparatively young; pocket money

some problematic items, limited range, (causing some difficulty): positive school; hoard money; 'age is late to work by children ages'; 'had a culture about children'; doing errands; safeguard for the future; 

","some appropriate use: the value of hard work, discipline; are well-trained to face adulthood; see... and embrace; the source of happiness; grow up with the sense of respect for money;  they know how to face problems... they've been observing

some problems / causing strain; 'raised in a certain psychological values'; oppose to it; put food in the table; their eyes are blinded by the power of money; have a disadvantage of love from the family;","uncommon lexical items / collocations: brought up in (families); better prepared to deal with (problems); exposed to problems; sacrificing luxuries for essential items; 'realities' of life; act as in incentive; from a very early age; supplement.. income; make direct contribution to; set ambitious goals; robbed of childhood; turn to crime;

inaccuracies / lack of clarity or focus: humble parents; cope [on]; truly inspired; upgrade economic & social status; Mr Bill Gates; eg/e.g. ; with modest backgrounds
 ",Male,50-59,MA,Cambridge Delta,11-20,examiner,former,3-5,Chinese; English,L2,various,wide,wide
R10,5.7,5.7,6.0,5.0,5.2,6.3,6.3,7.3,6.7,6.4,8.0,7.7,8.0,7.7,7.1,539595,B1_B2_C1,Text8,Text17,Text25,Use of some less common lexis and generally satisfactory lexis for the task. ,There was some flexibility and precision with less common items. There was also some awareness of collocation. The tone was inconsistent though due to lexical choices. I gave it a 7 but I was between that and 6+. ,Some skillful use of less common items and awareness of collocation. Very few (if any) spelling errors. Range was quite strong but not perfect. ,Male,30-39,MA,Cambridge Delta,11-20,examiner,former,3-5,English,L1,Japanese,wide,wide
